,Date,Species,Trap,WnvPresent,Tavg,PrecipTotal,StnPressure,ResultDir,AvgSpeed,Sunlight,MIFG,TS,SQ,GR,VCFG,FG+,SN,FG,VCTS,BCFG,BR,RA,FU,DZ,TSRA,HZ
0,2007-05-29,CULEX PIPIENS/RESTUANS,T002,0,74.68866300319367,0.0,29.403773260063872,17.449069597445053,6.747918681149725,14.933333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.9999999999999999
1,2007-05-29,CULEX RESTUANS,T002,0,74.68866300319367,0.0,29.403773260063872,17.449069597445053,6.747918681149725,14.933333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.9999999999999999
2,2007-05-29,CULEX RESTUANS,T007,0,74.6346322170003,0.0,29.402692644340004,17.492294226399743,6.7284675981201145,14.933333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.9999999999999999
3,2007-05-29,CULEX PIPIENS/RESTUANS,T015,0,74.38379145479202,0.0,29.397675829095842,17.692966836166384,6.638164923725126,14.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,2007-05-29,CULEX RESTUANS,T015,0,74.38379145479202,0.0,29.397675829095842,17.692966836166384,6.638164923725126,14.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5,2007-05-29,CULEX RESTUANS,T045,0,75.66684827081261,0.0,29.42333696541625,16.666521383349902,7.100065377492543,14.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,2007-05-29,CULEX RESTUANS,T046,0,75.91874876916037,0.0,29.42837497538321,16.465000984671704,7.190749556897734,14.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,2007-05-29,CULEX PIPIENS/RESTUANS,T048,0,76.08367465090781,0.0,29.431673493018152,16.333060279273734,7.250122874326818,14.93333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.9999999999999998
8,2007-05-29,CULEX RESTUANS,T048,0,76.08367465090781,0.0,29.431673493018152,16.333060279273734,7.250122874326818,14.93333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.9999999999999998
9,2007-05-29,CULEX RESTUANS,T049,0,75.87993436996791,0.0,29.42759868739936,16.49605250402567,7.176776373188451,14.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
